Country,State,Abbreviation
Brasil,Acre,AC
Brasil,Alagoas,AL
Brasil,Amapa,AP
Brasil,Amazonas,AM
Brasil,Bahia,BA
Brasil,Ceara,CE
Brasil,Distrito Federal,DF
Brasil,Espirito Santo,ES
Brasil,Goias,GO
Brasil,Maranhao,MA
Brasil,Mato Grosso,MT
Brasil,Mato Grosso do Sul,MS
Brasil,Minas Gerais,MG
Brasil,Para,PA
Brasil,Paraiba,PB
Brasil,Parana,PR
Brasil,Pernambuco,PE
Brasil,Piaui,PI
Brasil,Rio de Janeiro,RJ
Brasil,Rio Grande do Norte,RN
Brasil,Rio Grande do Sul,RS
Brasil,Rondonia,RO
Brasil,Roraima,RR
Brasil,Santa Catarina,SC
Brasil,Sao Paulo,SP
Brasil,Sergipe,SE
Brasil,Tocantins,TO
Paraguay,Alto Paraguay,AG
Paraguay,Alto Paraná,AA
Paraguay,Amambay,AM
Paraguay,Asunción,AS
Paraguay,Boquerón,BQ
Paraguay,Caaguazu,CG
Paraguay,Caazapá,CZ
Paraguay,Canindeyú,CY
Paraguay,Centrl,CE
Paraguay,Concepción,CN
Paraguay,Cordillera,CR
Paraguay,Guairá,GU
Paraguay,Itapúa,IT
Paraguay,Misiones,MI
Paraguay,Neembuću,NE
Paraguay,Paraguarí,PG
Paraguay,Presidente Hayes,PH
Paraguay,San Pedro,SP
Uruguay,Artigas ,AR
Uruguay,Canelones ,CA
Uruguay,Cerro Largo ,CL
Uruguay,Colonia ,CO
Uruguay,Durazno ,DU
Uruguay,Flores ,FS
Uruguay,Florida ,FD
Uruguay,Lavalleja ,LA
Uruguay,Maldonado ,MA
Uruguay,Montevideo ,MO
Uruguay,Paysandú ,PA
Uruguay,Río Negro ,RN
Uruguay,Rivera ,RV
Uruguay,Rocha ,RO
Uruguay,Salto ,SA
Uruguay,San José ,SJ
Uruguay,Soriano ,SO
Uruguay,Tacuarembó ,TA
Uruguay,Treinta y Tres,TT
Argentina,Buenos Aires City,CF
Argentina,Buenos Aires,BA
Argentina,Catamarca,CT
Argentina,Chaco,CC
Argentina,Chubut,CH
Argentina,Cordoba,CD
Argentina,Corrientes,CR
Argentina,Entre Rios,ER
Argentina,Formosa,FO
Argentina,Jujuy,JY
Argentina,La Pampa,LP
Argentina,La Rioja,LR
Argentina,Mendoza,MZ
Argentina,Misiones,MN
Argentina,Neuquen,NQ
Argentina,Rio Negro,RN
Argentina,Salta,SA
Argentina,San Juan,SJ
Argentina,San Luis,SL
Argentina,Santa Cruz,SC
Argentina,Santa Fe,SF
Argentina,Santiago del Estero,SE
Argentina,Tierra del Fuego,TF
Argentina,Tucuman,TM
